title,release_year,listed_in,rating,country
Workin' Moms,2021,"International TV Shows, TV Comedies",TV-MA,Canada
YooHoo to the Rescue,2020,"Kids' TV, Korean TV Shows",TV-Y,South Korea
We the People,2021,Kids' TV,TV-Y7,United States
Grey's Anatomy,2020,"Romantic TV Shows, TV Dramas",TV-14,United States
Haseen Dillruba,2021,"International Movies, Romantic Movies, Thrillers",TV-MA,India
Mortel,2019,"Crime TV Shows, International TV Shows, TV Dramas",TV-MA,France
RattleSnake - The Ahanna Story,2020,"Dramas, International Movies, Thrillers",TV-MA,Nigeria
Snowpiercer,2013,"Action & Adventure, Cult Movies, International Movies",R,"South Korea, Czech Republic"
The 8th Night,2021,"Horror Movies, International Movies, Thrillers",TV-14,South Korea
Winchester,2018,"Horror Movies, Sci-Fi & Fantasy",PG-13,"Australia, United States"
6 Bullets,2012,Action & Adventure,R,United States
Air Force One,1997,Action & Adventure,R,"United States, Germany"
Austin Powers in Goldmember,2002,"Action & Adventure, Comedies",PG-13,United States
Austin Powers: International Man of Mystery,1997,Comedies,PG-13,United States
Austin Powers: The Spy Who Shagged Me,1999,"Action & Adventure, Comedies, Sci-Fi & Fantasy",PG-13,United States
Boogie Nights,1997,"Comedies, Dramas, Independent Movies",R,United States
Bureau of Magical Things,2020,"International TV Shows, Kids' TV, TV Mysteries",TV-G,"Australia, Germany"
Charlie's Angels,2000,"Action & Adventure, Comedies",PG-13,"United States, Germany"
Congo,1995,"Action & Adventure, Thrillers",PG-13,United States
Dennis the Menace,1993,"Children & Family Movies, Comedies",PG,United States
Dreamy Eyes,2019,"Dramas, International Movies, Romantic Movies",TV-14,Vietnam
Hampstead,2019,"Comedies, Dramas, International Movies",PG-13,"United Kingdom, Belgium"
Kung Fu Panda,2008,"Children & Family Movies, Comedies",PG,"United States, China"
Kung Fu Panda 2,2011,"Children & Family Movies, Comedies",PG,"United States, China"
Life as We Know It,2010,"Comedies, Dramas, Romantic Movies",PG-13,United States
Mary Magdalene,2019,"Dramas, Faith & Spirituality, International Movies",R,"United Kingdom, Australia, United States"
Memoirs of a Geisha,2005,"Dramas, Romantic Movies",PG-13,"France, Japan, United States"
Midnight Run,1988,"Action & Adventure, Classic Movies, Comedies",R,United States
Mortal Kombat,1995,"Action & Adventure, Sci-Fi & Fantasy",PG-13,United States
Mother's Day,2016,"Comedies, Dramas",PG-13,United States
No Strings Attached,2011,"Comedies, Romantic Movies",R,"United States, United Kingdom"
Not Another Teen Movie,2001,Comedies,R,United States
Ophelia,2018,"Dramas, Romantic Movies",PG-13,"United Kingdom, United States"
Rainbow Rangers,2018,Kids' TV,TV-Y,United States
Red Joan,2019,"Dramas, International Movies",R,United Kingdom
Seven Pounds,2008,"Dramas, Romantic Movies",PG-13,United States
She's Out of My League,2010,"Comedies, Romantic Movies",R,United States
Snow Day,2000,"Children & Family Movies, Comedies",PG,United States
Star Trek,2009,"Action & Adventure, Sci-Fi & Fantasy",PG-13,"United States, Germany"
Stuart Little,1999,"Children & Family Movies, Comedies",PG,"Germany, United States"
Sword of Trust,2019,"Comedies, Dramas, Independent Movies",R,United States
Talladega Nights: The Ballad of Ricky Bobby,2006,"Action & Adventure, Comedies, Sports Movies",PG-13,United States
The American,2010,"Dramas, Thrillers",R,"United States, United Kingdom"
The Best of Enemies,2019,Dramas,PG-13,United States
The Game,1997,Thrillers,R,United States
The Karate Kid,1984,"Action & Adventure, Children & Family Movies, Classic Movies",PG,United States
The Karate Kid Part II,1986,"Action & Adventure, Children & Family Movies, Dramas",PG,United States
The Karate Kid Part III,1989,"Children & Family Movies, Dramas",PG,United States
The Life of David Gale,2003,Dramas,R,"United Kingdom, Germany, Spain, United States"
The Long Riders,1980,Action & Adventure,R,United States
The Queen,2006,"Dramas, International Movies",PG-13,"United Kingdom, United States, France, Italy"
The Strangers,2008,"Horror Movies, Thrillers",R,United States
The Sum of All Fears,2002,Action & Adventure,PG-13,"United States, Germany, Canada"
The Tourist,2010,"Action & Adventure, Romantic Movies",PG-13,"United States, France, Italy, United Kingdom"
Underworld,2003,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy",R,"United States, United Kingdom, Germany, Hungary"
Underworld: Awakening,2012,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy",R,"United States, Canada"
Underworld: Rise of the Lycans,2009,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy",R,"United States, New Zealand"
Voiceless,2020,"Dramas, International Movies, Thrillers",TV-MA,Nigeria
What Dreams May Come,1998,"Dramas, Romantic Movies, Sci-Fi & Fantasy",PG-13,"United States, New Zealand"
Why Do Fools Fall in Love,1998,"Dramas, Music & Musicals, Romantic Movies",R,United States
Young Royals,2021,"International TV Shows, Romantic TV Shows, TV Dramas",TV-MA,Sweden
America: The Motion Picture,2021,"Action & Adventure, Comedies",TV-MA,United States
Droppin' Cash: Los Angeles,2019,Reality TV,TV-MA,United States
Lying and Stealing,2019,Thrillers,R,United States
Somos.,2021,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",TV-MA,Mexico
The Daily Life of the Immortal King,2020,"Anime Series, International TV Shows, Teen TV Shows",TV-14,China
StarBeam,2021,Kids' TV,TV-Y,United States
Killing Them Softly,2012,Dramas,R,United States
The Seven Deadly Sins,2021,"Anime Series, International TV Shows",TV-14,Japan
Wonder Boy,2019,"Documentaries, International Movies",TV-14,France
Here Comes the Rain,2010,"Dramas, International Movies",TV-MA,Lebanon
The Ice Road,2021,Action & Adventure,PG-13,"United States, Canada"
Sex/Life,2021,"Romantic TV Shows, TV Dramas",TV-MA,United States
The Naked Director,2021,"International TV Shows, TV Dramas",TV-MA,Japan
The Seventh Day,2021,Horror Movies,R,United States
Too Hot to Handle,2021,"Reality TV, Romantic TV Shows",TV-MA,United States
O Vendedor de Sonhos,2016,"Dramas, International Movies",TV-14,Brazil
Osuofia in London,2003,"Comedies, Dramas, International Movies",TV-MA,Nigeria
#Selfie,2014,"Comedies, Dramas, International Movies",TV-MA,Romania
#Selfie 69,2016,"Comedies, Dramas, International Movies",TV-MA,Romania
Love Is a Story,2015,"International Movies, Music & Musicals, Romantic Movies",TV-MA,Romania
The Mole,2001,"Reality TV, TV Action & Adventure, TV Mysteries",TV-14,United States
Bangkok Love Stories: Innocence,2018,"International TV Shows, Romantic TV Shows, TV Dramas",TV-14,Thailand
Black Lightning,2021,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",TV-14,United States
Call My Agent!,2018,"International TV Shows, TV Comedies, TV Dramas",TV-MA,France
Champions,2018,TV Comedies,TV-14,United States
Cleo & Cuquin,2020,Kids' TV,TV-Y,Spain
Deadwind,2020,"Crime TV Shows, International TV Shows, TV Dramas",TV-MA,"Finland, Germany"
Glee,2015,"TV Comedies, TV Dramas, Teen TV Shows",TV-14,United States
Hap and Leonard,2018,"Crime TV Shows, TV Dramas",TV-MA,United States
Locked Up,2020,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",TV-MA,Spain
No Time for Shame,2019,"International TV Shows, Reality TV, Spanish-Language TV Shows",TV-MA,Argentina
Pose,2019,TV Dramas,TV-MA,United States
REA(L)OVE,2018,"International TV Shows, Reality TV, Romantic TV Shows",TV-MA,Japan
Riverdale,2019,"Crime TV Shows, TV Dramas, TV Mysteries",TV-14,United States
Schitt's Creek,2020,TV Comedies,TV-MA,"Canada, United States"
The Assassination of Gianni Versace,2018,"Crime TV Shows, TV Dramas, TV Thrillers",TV-MA,United States
The Judgement,2018,"Crime TV Shows, International TV Shows, TV Dramas",TV-MA,Thailand
The Last Dance,2020,Docuseries,TV-MA,United States
They've Gotta Have Us,2018,"British TV Shows, Docuseries",TV-MA,United Kingdom
Why Are You Like This,2021,"International TV Shows, TV Comedies",TV-MA,Australia
Elite,2021,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",TV-MA,Spain
Fatherhood,2021,Dramas,PG-13,United States
Hospital Playlist,2021,"International TV Shows, Korean TV Shows, TV Comedies",TV-14,South Korea
Kambili: The Whole 30 Yards,2020,"Comedies, International Movies, Romantic Movies",TV-14,Nigeria
Aziza,2019,"Comedies, Dramas, Independent Movies",TV-PG,"Lebanon, Syria"
Black Summer,2021,"TV Action & Adventure, TV Dramas, TV Horror",TV-MA,"Canada, United States"
Fan Girl,2020,"Dramas, Independent Movies, International Movies",TV-MA,Philippines
Katla,2021,"International TV Shows, TV Dramas, TV Mysteries",TV-MA,Iceland
Red Snow,2019,Dramas,TV-MA,Canada
Silver Linings Playbook,2012,"Comedies, Dramas, Independent Movies",R,United States
The Gift,2021,"International TV Shows, TV Dramas, TV Mysteries",TV-MA,Turkey
Biking Borders,2019,"Documentaries, International Movies, Sports Movies",TV-14,Germany
Lowriders,2016,"Dramas, Independent Movies",PG-13,United States
Millennials,2020,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",TV-MA,Argentina
Security,2021,"Dramas, International Movies, Thrillers",TV-MA,Italy
Avengers Climate Conundrum,2020,"Kids' TV, TV Comedies",TV-Y7,United States
FTA,1972,Documentaries,TV-MA,United States
Life of Crime,2013,"Comedies, Independent Movies",R,United States
Power Rangers Dino Fury,2021,Kids' TV,TV-G,United States
Rogue Warfare: Death of a Nation,2020,Action & Adventure,R,United States
Sir! No Sir!,2005,Documentaries,TV-MA,United States
The American Bible Challenge,2014,Reality TV,TV-G,United States
The Reason I Jump,2021,Documentaries,TV-14,"United States, United Kingdom"
Metallica: Some Kind of Monster,2014,TV Shows,TV-MA,United States
Picture a Scientist,2020,Documentaries,TV-MA,United States
The Devil Below,2021,Horror Movies,TV-MA,United States
Love (ft. Marriage and Divorce),2021,"International TV Shows, TV Dramas",TV-14,South Korea
LEGO Friends: The Power of Friendship,2016,Kids' TV,TV-Y7,Denmark
Lupin,2021,"Crime TV Shows, International TV Shows, TV Action & Adventure",TV-MA,"France, United States"
Sarbath,2021,"Comedies, Dramas, International Movies",TV-PG,India
Skater Girl,2021,"Children & Family Movies, Dramas, International Movies",PG,"United States, India"
Trese,2021,"Anime Series, Crime TV Shows, TV Horror",TV-MA,"Philippines, Singapore, Indonesia"
Wish Dragon,2021,"Children & Family Movies, Comedies",PG,"China, United States, Canada"
A Haunted House 2,2014,"Comedies, Horror Movies",R,United States
Blind Intersections,2012,"Dramas, International Movies",TV-MA,"Lebanon, United Arab Emirates"
Camellia Sisters,2021,"Dramas, International Movies",TV-MA,Vietnam
Copenhagen,2014,"Dramas, Independent Movies, Romantic Movies",TV-MA,"Canada, United States, Denmark"
Locombianos,2021,"International TV Shows, Spanish-Language TV Shows, Stand-Up Comedy & Talk Shows",TV-MA,Colombia
Until Midnight,2019,"International Movies, Thrillers",TV-14,United Arab Emirates
Awake,2021,"Dramas, Thrillers",TV-MA,United States
Confusion Na Wa,2013,"Comedies, Dramas, International Movies",TV-MA,Nigeria
"Fresh, Fried & Crispy",2021,Reality TV,TV-PG,United States
L.A.’s Finest,2021,"Crime TV Shows, TV Action & Adventure, TV Comedies",TV-MA,United States
Tragic Jungle,2021,"Dramas, Independent Movies, International Movies",TV-MA,"Mexico, France, Colombia"
Vampire Academy,2014,"Action & Adventure, Comedies, Sci-Fi & Fantasy",PG-13,"United States, United Kingdom"
"Newly Rich, Newly Poor",2007,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",TV-MA,Colombia
A Private War,2018,"Dramas, Independent Movies",R,"United Kingdom, United States"
Kitty Love: An Homage to Cats,2021,"Children & Family Movies, Documentaries, International Movies",TV-G,Netherlands
Small Chops,2020,"Dramas, International Movies, Romantic Movies",TV-MA,Nigeria
Breaking Boundaries: The Science Of Our Planet,2021,Documentaries,TV-PG,United States
Feel Good,2021,"Romantic TV Shows, TV Comedies, TV Dramas",TV-MA,United Kingdom
Sweet & Sour,2021,"Comedies, International Movies, Romantic Movies",TV-14,South Korea
Sweet Tooth,2021,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",TV-14,United States
Trippin' with the Kandasamys,2021,"Comedies, International Movies, Romantic Movies",TV-14,South Africa
Xtreme,2021,"Action & Adventure, International Movies",TV-MA,Spain
Alan Saldaña: Locked Up,2021,Stand-Up Comedy,TV-MA,Mexico
Creator's File: GOLD,2021,"International TV Shows, TV Comedies",TV-14,Japan
Dancing Queens,2021,"Comedies, Dramas, International Movies",TV-MA,Sweden
From Stress to Happiness,2020,"Documentaries, International Movies",TV-G,Argentina
Myriam Fares: The Journey,2021,"Documentaries, International Movies, Music & Musicals",TV-14,United Arab Emirates
Summertime,2021,"International TV Shows, Romantic TV Shows, TV Dramas",TV-MA,Italy
The Girl and the Gun,2019,"Dramas, International Movies, Thrillers",TV-MA,Philippines
2 Hearts,2020,"Dramas, Faith & Spirituality, Romantic Movies",PG-13,United States
A Perfect Ending,2012,"Dramas, Independent Movies, LGBTQ Movies",TV-MA,United States
American Outlaws,2001,Action & Adventure,PG-13,United States
And Then Came Lola,2009,"Comedies, Independent Movies, LGBTQ Movies",TV-MA,United States
Attack on Titan,2013,"Anime Series, International TV Shows",TV-MA,Japan
Battlefield Earth,2000,"Action & Adventure, Cult Movies, Sci-Fi & Fantasy",PG-13,United States
Ben & Holly's Little Kingdom,2019,Kids' TV,TV-Y,United Kingdom
Bliss,1997,"Dramas, Romantic Movies",R,"Canada, United States"
Carnaval,2021,"Comedies, International Movies, Music & Musicals",TV-MA,Brazil
Cloudburst,2011,"Comedies, Dramas, Independent Movies",TV-MA,"United States, Canada"
Cocomelon,2021,Kids' TV,TV-Y,United States
Company of Heroes,2013,"Action & Adventure, Dramas",R,United States
Cradle 2 the Grave,2003,Action & Adventure,R,United States
Domestic Disturbance,2001,Thrillers,PG-13,United States
Downton Abbey,2015,"British TV Shows, International TV Shows, TV Dramas",TV-14,United Kingdom
Dream/Killer,2015,Documentaries,TV-MA,United States
Felon,2008,"Action & Adventure, Dramas",R,United States
Flipped,2010,"Comedies, Dramas, Romantic Movies",PG,United States
Fools Rush In,1997,"Comedies, Romantic Movies",PG-13,United States
Gold Statue,2019,"Comedies, Dramas, International Movies",TV-14,Nigeria
Happy Endings,2012,TV Comedies,TV-14,United States
Hostel: Part III,2011,"Cult Movies, Horror Movies",R,United States
I Am Sam,2001,Dramas,PG-13,United States
Love Jones,1997,"Comedies, Dramas, Independent Movies",R,United States
Million Dollar Baby,2004,"Dramas, Sports Movies",PG-13,United States
Mosquita y Mari,2012,"Dramas, Independent Movies, LGBTQ Movies",TV-14,United States
Never Back Down 2: The Beatdown,2011,"Action & Adventure, Dramas, Sports Movies",R,United States
Ninja Assassin,2009,Action & Adventure,R,"Germany, United States, France"
Ouran High School Host Club,2006,"Anime Series, Romantic TV Shows, Teen TV Shows",TV-PG,Japan
Population 436,2006,"Horror Movies, Thrillers",R,"Canada, United States"
Sniper: Legacy,2014,Action & Adventure,R,"United States, Bulgaria"
Starsky & Hutch,2004,"Action & Adventure, Comedies",PG-13,United States
Streets of Fire,1984,"Action & Adventure, Classic Movies, Cult Movies",PG,United States
Swordfish,2001,Action & Adventure,R,United States
The Adventures of Sonic the Hedgehog,1993,Kids' TV,TV-Y7,"United States, Canada"
The Four Seasons,1981,"Comedies, Romantic Movies",PG,United States
The Interpreter,2005,Thrillers,PG-13,"United Kingdom, France, Germany, United States"
The Meddler,2015,"Comedies, Dramas, Independent Movies",PG-13,United States
The Mirror Has Two Faces,1996,"Comedies, Dramas, Romantic Movies",PG-13,United States
The Outlaw Josey Wales,1976,"Action & Adventure, Classic Movies",PG,United States
The Platform,2021,"International TV Shows, TV Dramas, TV Mysteries",TV-14,United Arab Emirates
The Wedding Guest,2018,"Dramas, Romantic Movies, Thrillers",R,United Kingdom
The Wind,2019,Horror Movies,R,United States
Then Came You,2019,"Comedies, Dramas, Independent Movies",TV-MA,United States
Welcome Home,2018,Thrillers,R,United States
Dirty John,2020,"Crime TV Shows, TV Dramas, TV Mysteries",TV-MA,United States
Bo Burnham: Inside,2021,Stand-Up Comedy,TV-MA,United States
Collateral Beauty,2016,Dramas,PG-13,United States
The Kominsky Method,2021,"TV Comedies, TV Dramas",TV-MA,United States
Black Space,2021,"Crime TV Shows, International TV Shows, TV Dramas",TV-MA,Israel
Blue Miracle,2021,"Children & Family Movies, Dramas, Faith & Spirituality",TV-PG,United States
Ghost Lab,2021,"Horror Movies, International Movies, Thrillers",TV-MA,Thailand
Ragnarok,2021,"International TV Shows, TV Action & Adventure, TV Dramas",TV-MA,"Norway, Denmark"
Soy Rada: Serendipity,2021,Stand-Up Comedy,TV-MA,Argentina
The Day I lost My Shadow,2018,"Dramas, Independent Movies, International Movies",TV-MA,"Syria, France, Lebanon, Qatar"
Baggio: The Divine Ponytail,2021,"Dramas, International Movies, Sports Movies",TV-MA,Italy
JoJo's Bizarre Adventure,2016,"Anime Series, International TV Shows",TV-MA,Japan
